# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 6 mm
# Rotation step angle: 2.4°
# sensor pos #1: 0 mm
# sensor pos #2: 15 mm
# sensor pos #3: 30 mm
# sensor pos #4: 45 mm
# sensor pos #5: 60 mm
# sensor pos #6: 75 mm
# sensor pos #7: 90 mm
#
# ZPos#; a[°]; X1_magn[mT]; Y1_magn[mT]; Z1_magn[mT]
 2;223.2;   85.693000;   -8.850400;  -37.866000
 2;225.6;   92.208000;   -9.277900;  -29.474000
 2;228.0;   94.062000;   -9.551300;  -20.658000
 2;230.4;   93.822000;   -9.683800;  -12.342000
 2;232.8;   93.318000;   -9.656600;   -4.904000
 2;235.2;   93.240000;   -9.493000;    2.421700
 2;237.6;   93.658000;   -9.180500;    9.623400
 2;240.0;   93.929000;   -8.694300;   17.529000
 2;242.4;   92.591000;   -8.062100;   25.998000
 2;244.8;   87.346000;   -7.288400;   34.409000
 2;247.2;   76.706000;   -6.382100;   42.125000
 2;249.6;   64.870000;   -5.405700;   47.893000
 2;252.0;   56.086000;   -4.276100;   52.408000
 2;254.4;   49.612000;   -3.038700;   56.621000
 2;256.8;   40.446000;   -1.789300;   60.647000
 2;259.2;   25.994000;   -0.513340;   63.791000
 2;261.6;   11.986000;    0.762950;   65.124000
 2;264.0;    1.937800;    2.054200;   65.297000
 2;266.4;   -6.938100;    3.321500;   65.126000
 2;268.8;  -19.324000;    4.530200;   64.448000
 2;271.2;  -34.538000;    5.679600;   62.237000
 2;273.6;  -45.897000;    6.751600;   58.501000
 2;276.0;  -52.983000;    7.774400;   54.118000
 2;278.4;  -60.559000;    8.690700;   49.678000
 2;280.8;  -71.477000;    9.446100;   44.650000
 2;283.2;  -83.298000;   10.052000;   37.836000
 2;285.6;  -90.479000;   10.482000;   29.732000
 2;288.0;  -92.962000;   10.752000;   21.059000
 2;290.4;  -93.031000;   10.899000;   12.804000
 2;292.8;  -92.671000;   10.880000;    5.331900
 2;295.2;  -92.647000;   10.732000;   -1.968400
 2;297.6;  -93.093000;   10.407000;   -9.124200
 2;300.0;  -93.553000;    9.918100;  -16.881000
 2;302.4;  -92.702000;    9.273600;  -25.270000
 2;304.8;  -88.239000;    8.486800;  -33.710000
 2;307.2;  -78.296000;    7.578300;  -41.666000
 2;309.6;  -66.478000;    6.566800;  -47.676000
 2;312.0;  -57.334000;    5.457400;  -52.373000
 2;314.4;  -51.015000;    4.233700;  -56.686000
 2;316.8;  -42.566000;    2.994400;  -60.873000
 2;319.2;  -28.582000;    1.717700;  -64.327000
 2;321.6;  -14.112000;    0.469460;  -65.994000
 2;324.0;   -3.619900;   -0.830360;  -66.342000
 2;326.4;    4.965000;   -2.104000;  -66.366000
 2;328.8;   17.032000;   -3.297100;  -65.943000
 2;331.2;   32.802000;   -4.445300;  -64.041000
 2;333.6;   45.035000;   -5.481500;  -60.483000
 2;336.0;   52.431000;   -6.505700;  -56.136000
 2;338.4;   59.787000;   -7.431800;  -51.787000
 2;340.8;   70.990000;   -8.186100;  -46.961000
 2;343.2;   83.870000;   -8.781700;  -40.249000
 2;345.6;   92.026000;   -9.192000;  -32.034000
 2;348.0;   94.931000;   -9.475800;  -23.098000
 2;350.4;   95.051000;   -9.616600;  -14.562000
 2;352.8;   94.653000;   -9.603500;   -6.902500
 2;355.2;   94.648000;   -9.458300;    0.560370
 2;357.6;   95.232000;   -9.140500;    7.804100
 3;  0.0;   95.122000;   -0.812440;   19.361000
 3;  2.4;   93.343000;   -0.165330;   28.835000
 3;  4.8;   86.325000;    0.484770;   38.103000
 3;  7.2;   73.294000;    1.077400;   46.313000
 3;  9.6;   61.037000;    1.558300;   52.249000
 3; 12.0;   53.669000;    2.043700;   57.018000
 3; 14.4;   47.801000;    2.593000;   61.799000
 3; 16.8;   36.756000;    3.125500;   66.401000
 3; 19.2;   20.024000;    3.589200;   69.612000
 3; 21.6;    6.695000;    3.927900;   70.721000
 3; 24.0;   -1.408300;    4.249100;   70.916000
 3; 26.4;  -10.669000;    4.584000;   71.072000
 3; 28.8;  -25.837000;    4.817400;   70.347000
 3; 31.2;  -42.056000;    4.927200;   67.490000
 3; 33.6;  -51.208000;    4.964500;   63.126000
 3; 36.0;  -56.662000;    4.997400;   58.529000
 3; 38.4;  -65.755000;    5.022800;   53.987000
 3; 40.8;  -79.533000;    4.910000;   48.235000
 3; 43.2;  -91.636000;    4.622100;   40.012000
 3; 45.6;  -96.583000;    4.267000;   30.599000
 3; 48.0;  -96.905000;    3.893200;   20.957000
 3; 50.4;  -95.851000;    3.568000;   12.144000
 3; 52.8;  -95.088000;    3.237500;    4.054400
 3; 55.2;  -95.195000;    2.861500;   -3.815300
 3; 57.6;  -96.016000;    2.397700;  -11.799000
 3; 60.0;  -96.728000;    1.841300;  -20.754000
 3; 62.4;  -95.054000;    1.199100;  -30.379000
 3; 64.8;  -87.494000;    0.547130;  -39.958000
 3; 67.2;  -73.378000;   -0.032023;  -48.292000
 3; 69.6;  -60.774000;   -0.496540;  -54.105000
 3; 72.0;  -53.855000;   -0.955450;  -58.806000
 3; 74.4;  -48.277000;   -1.463300;  -63.677000
 3; 76.8;  -36.438000;   -1.979300;  -68.424000
 3; 79.2;  -18.950000;   -2.397500;  -71.564000
 3; 81.6;   -5.447100;   -2.703000;  -72.483000
 3; 84.0;    2.121800;   -2.996100;  -72.568000
 3; 86.4;   11.585000;   -3.325100;  -72.735000
 3; 88.8;   27.867000;   -3.550200;  -71.869000
 3; 91.2;   44.373000;   -3.642800;  -68.684000
 3; 93.6;   52.852000;   -3.640200;  -64.090000
 3; 96.0;   58.080000;   -3.677600;  -59.280000
 3; 98.4;   67.637000;   -3.674600;  -54.650000
 3;100.8;   81.868000;   -3.565200;  -48.717000
 3;103.2;   93.806000;   -3.260500;  -39.979000
 3;105.6;   97.947000;   -2.888900;  -30.361000
 3;108.0;   97.764000;   -2.541700;  -20.684000
 3;110.4;   96.483000;   -2.222400;  -11.769000
 3;112.8;   95.688000;   -1.912500;   -3.800900
 3;115.2;   95.794000;   -1.548800;    4.187400
 3;117.6;   96.604000;   -1.120500;   12.192000
 3;120.0;   97.141000;   -0.564870;   21.278000
 3;122.4;   94.892000;    0.046765;   31.057000
 3;124.8;   86.477000;    0.639730;   40.501000
 3;127.2;   71.954000;    1.162900;   48.558000
 3;129.6;   59.798000;    1.588500;   54.158000
 3;132.0;   53.236000;    2.023200;   58.789000
 3;134.4;   47.008000;    2.529200;   63.626000
 3;136.8;   34.275000;    3.024700;   68.115000
 3;139.2;   16.605000;    3.404000;   70.877000
 3;141.6;    4.058200;    3.681900;   71.508000
 3;144.0;   -3.414300;    3.974600;   71.455000
 3;146.4;  -13.672000;    4.287100;   71.387000
 3;148.8;  -29.766000;    4.478300;   70.200000
 3;151.2;  -45.185000;    4.564600;   66.755000
 3;153.6;  -53.075000;    4.604200;   62.078000
 3;156.0;  -58.558000;    4.663900;   57.350000
 3;158.4;  -68.570000;    4.694500;   52.539000
 3;160.8;  -82.281000;    4.609800;   46.306000
 3;163.2;  -92.846000;    4.357000;   37.670000
 3;165.6;  -96.389000;    4.070900;   28.229000
 3;168.0;  -96.162000;    3.766600;   18.694000
 3;170.4;  -94.985000;    3.495900;   10.074000
 3;172.8;  -94.239000;    3.239700;    2.241400
 3;175.2;  -94.286000;    2.904400;   -5.664200
 3;177.6;  -94.877000;    2.499700;  -13.594000
 3;180.0;  -94.987000;    2.004100;  -22.456000
 3;182.4;  -92.098000;    1.412300;  -32.007000
 3;184.8;  -83.569000;    0.844360;  -40.965000
 3;187.2;  -69.773000;    0.335030;  -48.711000
 3;189.6;  -58.459000;   -0.103720;  -54.144000
 3;192.0;  -51.849000;   -0.586530;  -58.708000
 3;194.4;  -45.007000;   -1.110800;  -63.372000
 3;196.8;  -32.491000;   -1.613800;  -67.565000
 3;199.2;  -16.272000;   -2.035300;  -70.134000
 3;201.6;   -4.368700;   -2.356800;  -70.852000
 3;204.0;    3.646200;   -2.692500;  -70.876000
 3;206.4;   14.060000;   -3.050200;  -70.786000
 3;208.8;   29.268000;   -3.299300;  -69.558000
 3;211.2;   44.004000;   -3.443400;  -66.139000
 3;213.6;   51.875000;   -3.546100;  -61.780000
 3;216.0;   57.870000;   -3.653700;  -57.125000
 3;218.4;   67.735000;   -3.728300;  -52.246000
 3;220.8;   80.438000;   -3.679800;  -46.158000
 3;223.2;   90.501000;   -3.485600;  -37.856000
 3;225.6;   94.323000;   -3.222000;  -28.564000
 3;228.0;   94.508000;   -2.956100;  -19.475000
 3;230.4;   93.588000;   -2.678300;  -10.940000
 3;232.8;   92.968000;   -2.383700;   -3.192300
 3;235.2;   93.016000;   -2.051400;    4.575800
 3;237.6;   93.492000;   -1.626800;   12.377000
 3;240.0;   93.420000;   -1.119700;   21.098000
 3;242.4;   90.605000;   -0.517450;   30.336000
 3;244.8;   82.640000;    0.087466;   39.134000
 3;247.2;   69.759000;    0.671470;   46.802000
 3;249.6;   58.744000;    1.149800;   52.266000
 3;252.0;   51.659000;    1.644600;   56.898000
 3;254.4;   44.768000;    2.210300;   61.504000
 3;256.8;   33.094000;    2.743900;   65.616000
 3;259.2;   17.443000;    3.201700;   68.316000
 3;261.6;    5.270600;    3.573900;   69.179000
 3;264.0;   -2.917300;    3.934300;   69.276000
 3;266.4;  -12.847000;    4.284500;   69.175000
 3;268.8;  -27.325000;    4.565000;   68.054000
 3;271.2;  -41.714000;    4.740800;   65.043000
 3;273.6;  -50.239000;    4.858800;   60.854000
 3;276.0;  -56.411000;    4.978700;   56.354000
 3;278.4;  -65.695000;    5.049600;   51.667000
