# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 15 mm
# Rotation step angle: 2.3999999999999995°
# sensor pos #1: 5 mm
# sensor pos #2: 50 mm
# sensor pos #3: 85 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]; X3_magn [mT]; Y3_magn [mT]; Z3_magn [mT]
156.0;  -29.818000;   -4.857200;  -43.113000;  -36.131000;   -2.437900;  -43.142000;  -39.907000;    9.693700;  -33.521000
158.4;  -33.307000;    7.914000;  -36.493000;  -28.534000;   -2.452800;  -46.270000;  -21.303000;   -4.000200;  -45.689000
160.8;  -12.473000;   -3.102200;  -47.471000;  -20.256000;   -2.438600;  -48.691000;  -26.220000;    6.031700;  -38.937000
163.2;  -18.196000;    4.002600;  -40.834000;  -11.347000;   -2.381900;  -50.375000;   -3.456400;   -2.098400;  -48.519000
165.6;    5.025100;   -1.107100;  -48.880000;   -2.929400;   -2.255300;  -51.202000;  -10.187000;    2.021000;  -42.001000
168.0;   -2.032800;   -0.049947;  -42.491000;    5.665800;   -2.086900;  -51.343000;   13.983000;   -0.063016;  -48.541000
170.4;   23.041000;    0.996700;  -47.425000;   14.434000;   -1.875900;  -50.759000;    5.929700;   -2.101800;  -42.540000
172.8;   13.965000;   -4.077500;  -41.887000;   23.058000;   -1.664200;  -49.375000;   31.466000;    1.997800;  -45.604000
175.2;   39.332000;    3.045600;  -42.962000;   31.521000;   -1.372500;  -47.133000;   22.309000;   -6.029600;  -40.509000
177.6;   29.851000;   -7.805900;  -38.541000;   38.935000;   -1.055500;  -44.247000;   46.366000;    3.995500;  -39.832000
180.0;   53.332000;    4.933500;  -36.020000;   46.024000;   -0.697800;  -40.679000;   36.879000;   -9.504600;  -35.953000
182.4;   43.407000;  -11.035000;  -32.826000;   52.833000;   -0.359500;  -36.425000;   59.788000;    5.793800;  -31.511000
184.8;   64.915000;    6.582800;  -26.456000;   58.941000;    0.025854;  -31.591000;   49.560000;  -12.315000;  -29.305000
187.2;   55.312000;  -13.475000;  -25.007000;   63.970000;    0.428010;  -25.881000;   68.511000;    7.262400;  -20.694000
189.6;   70.465000;    7.819900;  -14.959000;   67.204000;    0.810750;  -19.985000;   59.663000;  -14.361000;  -20.328000
192.0;   62.550000;  -15.158000;  -15.153000;   69.106000;    1.187100;  -13.751000;   71.376000;    8.259100;   -9.080600
194.4;   71.525000;    8.573500;   -3.279500;   69.936000;    1.584400;   -7.560300;   64.340000;  -15.451000;  -10.037000
196.8;   65.096000;  -15.617000;   -4.951700;   70.058000;    1.865600;   -1.511600;   71.121000;    8.723200;    2.452800
199.2;   69.963000;    8.808700;    8.470000;   69.650000;    2.235300;    4.779000;   65.254000;  -15.500000;    0.281740
201.6;   64.764000;  -15.200000;    5.294200;   68.484000;    2.487300;   10.885000;   67.838000;    8.754200;   14.329000
204.0;   64.167000;    8.575000;   20.289000;   66.214000;    2.800600;   17.197000;   63.490000;  -14.687000;   10.497000
206.4;   61.105000;  -13.932000;   15.654000;   62.421000;    3.002300;   23.303000;   58.888000;    8.293400;   25.868000
208.8;   52.490000;    7.864400;   30.825000;   57.175000;    3.229700;   28.955000;   57.508000;  -12.882000;   20.582000
211.2;   52.292000;  -11.623000;   25.275000;   50.636000;    3.360000;   34.130000;   45.407000;    7.270300;   35.244000
213.6;   38.388000;    6.604100;   38.934000;   43.952000;    3.477600;   38.466000;   46.478000;  -10.187000;   29.261000
216.0;   39.923000;   -8.621100;   32.762000;   36.860000;    3.544400;   42.248000;   30.645000;    5.827100;   42.176000
218.4;   22.209000;    4.994700;   44.756000;   29.291000;    3.547100;   45.381000;   33.481000;   -6.807100;   35.746000
220.8;   26.318000;   -4.928500;   38.199000;   20.955000;    3.513400;   47.837000;   13.259000;    4.071700;   46.585000
223.2;    4.295300;    3.085500;   47.638000;   12.039000;    3.450700;   49.520000;   18.319000;   -2.915800;   40.086000
225.6;   10.266000;   -0.928190;   41.276000;    3.585000;    3.327100;   50.356000;   -4.221700;    2.083700;   47.994000
228.0;  -13.153000;    1.031400;   47.675000;   -5.028100;    3.162400;   50.525000;    2.162500;    1.124800;   41.828000
230.4;   -5.857600;    3.179300;   41.759000;  -13.758000;    2.950700;   49.929000;  -22.175000;   -0.010739;   46.603000
232.8;  -30.589000;   -1.048400;   44.776000;  -22.429000;    2.704700;   48.565000;  -13.917000;    5.124700;   41.078000
235.2;  -22.163000;    7.072800;   39.725000;  -30.831000;    2.393200;   46.367000;  -38.398000;   -2.067400;   42.201000
237.6;  -45.397000;   -3.025200;   39.116000;  -38.231000;    2.096400;   43.514000;  -29.645000;    8.821400;   37.774000
240.0;  -36.609000;   10.571000;   35.071000;  -45.281000;    1.762200;   39.943000;  -52.328000;   -3.962100;   35.333000
242.4;  -58.764000;   -4.837700;   30.879000;  -52.077000;    1.386500;   35.743000;  -43.092000;   12.088000;   32.002000
244.8;  -49.142000;   13.427000;   28.433000;  -58.146000;    1.034000;   30.896000;  -63.943000;   -5.601400;   25.836000
247.2;  -67.568000;   -6.298100;   20.174000;  -63.207000;    0.586330;   25.301000;  -54.809000;   14.524000;   24.223000
249.6;  -59.103000;   15.414000;   19.601000;  -66.446000;    0.230480;   19.415000;  -69.580000;   -6.855600;   14.498000
252.0;  -70.489000;   -7.297400;    8.642600;  -68.343000;   -0.164580;   13.215000;  -62.070000;   16.124000;   14.538000
254.4;  -63.773000;   16.546000;    9.355500;  -69.182000;   -0.439410;    7.011400;  -70.655000;   -7.572900;    2.792400
256.8;  -70.260000;   -7.766400;   -2.905500;  -69.337000;   -0.769870;    0.958730;  -64.544000;   16.662000;    4.330000
259.2;  -64.670000;   16.630000;   -0.853120;  -68.894000;   -1.053700;   -5.270200;  -69.165000;   -7.836900;   -8.861100
261.6;  -67.096000;   -7.798100;  -14.705000;  -67.773000;   -1.353500;  -11.360000;  -64.201000;   16.353000;   -5.854800
