# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 1 mm
# Rotation step angle: 1.2°
# sensor pos #1: 0 mm
# sensor pos #2: 60 mm
#
# ZPos#; a[°]; X1_magn[mT]; Y1_magn[mT]; Z1_magn[mT]
 1;178.8; -113.690000;   35.131000;  -13.720000
 1;180.0; -114.580000;   34.791000;  -17.838000
 1;181.2; -115.200000;   34.276000;  -22.293000
 1;182.4; -114.950000;   33.627000;  -26.984000
 1;183.6; -113.040000;   32.790000;  -31.749000
 1;184.8; -108.280000;   31.725000;  -36.634000
 1;186.0; -100.110000;   30.429000;  -41.169000
 1;187.2;  -89.374000;   28.935000;  -45.042000
 1;188.4;  -78.742000;   27.339000;  -47.971000
 1;189.6;  -70.517000;   25.684000;  -50.091000
 1;190.8;  -65.386000;   23.968000;  -51.778000
 1;192.0;  -63.240000;   22.223000;  -53.380000
 1;193.2;  -62.631000;   20.453000;  -55.230000
 1;194.4;  -61.542000;   18.651000;  -57.463000
 1;195.6;  -58.131000;   16.776000;  -59.993000
 1;196.8;  -50.793000;   14.732000;  -62.633000
 1;198.0;  -39.495000;   12.564000;  -64.886000
 1;199.2;  -26.308000;   10.285000;  -66.395000
 1;200.4;  -14.562000;    8.028700;  -66.992000
 1;201.6;   -6.353500;    5.837500;  -66.899000
 1;202.8;   -1.654900;    3.630300;  -66.460000
 1;204.0;    0.543870;    1.422400;  -66.082000
 1;205.2;    2.486800;   -0.777340;  -66.037000
 1;206.4;    6.472100;   -2.956900;  -66.305000
 1;207.6;   13.803000;   -5.104700;  -66.597000
 1;208.8;   24.791000;   -7.357500;  -66.535000
 1;210.0;   37.723000;   -9.631500;  -65.741000
 1;211.2;   49.375000;  -11.857000;  -64.075000
 1;212.4;   57.500000;  -13.934000;  -61.712000
 1;213.6;   61.604000;  -15.839000;  -59.062000
 1;214.8;   63.164000;  -17.698000;  -56.394000
 1;216.0;   63.839000;  -19.501000;  -54.005000
 1;217.2;   65.549000;  -21.236000;  -52.029000
 1;218.4;   69.703000;  -22.930000;  -50.291000
 1;219.6;   76.698000;  -24.536000;  -48.491000
 1;220.8;   86.235000;  -26.142000;  -46.167000
 1;222.0;   96.325000;  -27.656000;  -43.066000
 1;223.2;  104.620000;  -29.021000;  -39.163000
 1;224.4;  109.700000;  -30.164000;  -34.727000
 1;225.6;  111.980000;  -31.087000;  -30.097000
 1;226.8;  112.440000;  -31.852000;  -25.287000
 1;228.0;  111.850000;  -32.426000;  -20.608000
 1;229.2;  110.850000;  -32.852000;  -16.204000
 1;230.4;  109.860000;  -33.154000;  -12.206000
 1;231.6;  109.040000;  -33.343000;   -8.584700
 1;232.8;  108.480000;  -33.468000;   -5.044400
 1;234.0;  108.180000;  -33.520000;   -1.612500
 1;235.2;  108.190000;  -33.473000;    1.791700
 1;236.4;  108.500000;  -33.395000;    5.148600
 1;237.6;  109.020000;  -33.218000;    8.545800
 1;238.8;  109.730000;  -32.965000;   12.242000
 1;240.0;  110.460000;  -32.602000;   16.235000
 1;241.2;  110.900000;  -32.109000;   20.515000
 1;242.4;  110.590000;  -31.465000;   25.011000
 1;243.6;  108.840000;  -30.654000;   29.548000
 1;244.8;  104.720000;  -29.638000;   34.220000
 1;246.0;   97.677000;  -28.400000;   38.641000
 1;247.2;   88.263000;  -26.981000;   42.501000
 1;248.4;   78.544000;  -25.465000;   45.554000
 1;249.6;   70.552000;  -23.908000;   47.823000
 1;250.8;   64.999000;  -22.238000;   49.661000
 1;252.0;   62.110000;  -20.560000;   51.329000
 1;253.2;   60.802000;  -18.821000;   53.181000
 1;254.4;   59.477000;  -17.070000;   55.296000
 1;255.6;   56.471000;  -15.287000;   57.642000
 1;256.8;   50.278000;  -13.336000;   60.162000
 1;258.0;   40.546000;  -11.234000;   62.431000
 1;259.2;   28.521000;   -9.039300;   64.086000
 1;260.4;   17.264000;   -6.871300;   64.898000
 1;261.6;    8.584800;   -4.733900;   65.029000
 1;262.8;    2.978000;   -2.574200;   64.752000
 1;264.0;   -0.054672;   -0.409910;   64.423000
 1;265.2;   -2.321300;    1.749100;   64.321000
 1;266.4;   -5.799300;    3.851000;   64.500000
 1;267.6;  -11.935000;    5.947300;   64.762000
 1;268.8;  -21.401000;    8.112700;   64.796000
 1;270.0;  -33.163000;   10.302000;   64.259000
 1;271.2;  -44.774000;   12.456000;   62.895000
 1;272.4;  -53.653000;   14.511000;   60.845000
 1;273.6;  -58.886000;   16.372000;   58.437000
 1;274.8;  -61.440000;   18.204000;   55.847000
 1;276.0;  -62.616000;   19.960000;   53.476000
 1;277.2;  -64.232000;   21.669000;   51.428000
 1;278.4;  -67.721000;   23.320000;   49.642000
 1;279.6;  -73.732000;   24.895000;   47.903000
 1;280.8;  -82.250000;   26.464000;   45.749000
 1;282.0;  -91.910000;   27.935000;   42.911000
 1;283.2; -100.530000;   29.301000;   39.305000
 1;284.4; -106.420000;   30.479000;   35.128000
 1;285.6; -109.500000;   31.433000;   30.672000
 1;286.8; -110.580000;   32.220000;   25.986000
 1;288.0; -110.440000;   32.860000;   21.360000
 1;289.2; -109.730000;   33.337000;   16.938000
 1;290.4; -108.880000;   33.676000;   12.877000
 1;291.6; -108.140000;   33.893000;    9.206500
 1;292.8; -107.600000;   34.053000;    5.649300
 1;294.0; -107.310000;   34.132000;    2.206300
 1;295.2; -107.310000;   34.135000;   -1.184200
 1;296.4; -107.610000;   34.089000;   -4.492700
 1;297.6; -108.140000;   33.957000;   -7.822300
 1;298.8; -108.890000;   33.754000;  -11.429000
 1;300.0; -109.710000;   33.441000;  -15.303000
 1;301.2; -110.400000;   33.008000;  -19.540000
 1;302.4; -110.480000;   32.449000;  -23.938000
 1;303.6; -109.400000;   31.710000;  -28.438000
 1;304.8; -106.260000;   30.778000;  -33.135000
 1;306.0; -100.290000;   29.654000;  -37.679000
 1;307.2;  -91.639000;   28.322000;  -41.759000
 1;308.4;  -81.969000;   26.864000;  -45.088000
 1;309.6;  -73.465000;   25.358000;  -47.583000
 1;310.8;  -67.137000;   23.722000;  -49.591000
 1;312.0;  -63.622000;   22.070000;  -51.347000
 1;313.2;  -62.135000;   20.363000;  -53.164000
 1;314.4;  -61.174000;   18.655000;  -55.257000
 1;315.6;  -58.943000;   16.895000;  -57.667000
 1;316.8;  -53.800000;   14.993000;  -60.277000
 1;318.0;  -44.873000;   12.930000;  -62.742000
 1;319.2;  -33.002000;   10.766000;  -64.691000
 1;320.4;  -21.054000;    8.597400;  -65.794000
 1;321.6;  -11.386000;    6.448400;  -66.143000
 1;322.8;   -4.829500;    4.268800;  -65.991000
 1;324.0;   -1.367200;    2.090000;  -65.682000
 1;325.2;    0.682790;   -0.071604;  -65.573000
 1;326.4;    3.472400;   -2.194000;  -65.787000
 1;327.6;    8.826400;   -4.308200;  -66.171000
 1;328.8;   17.848000;   -6.490100;  -66.410000
 1;330.0;   29.835000;   -8.748400;  -66.152000
 1;331.2;   42.428000;  -10.970000;  -65.028000
 1;332.4;   52.543000;  -13.084000;  -63.124000
 1;333.6;   58.806000;  -15.047000;  -60.737000
 1;334.8;   61.839000;  -16.935000;  -58.116000
 1;336.0;   62.951000;  -18.765000;  -55.659000
 1;337.2;   64.074000;  -20.534000;  -53.557000
 1;338.4;   66.920000;  -22.257000;  -51.825000
 1;339.6;   72.524000;  -23.900000;  -50.205000
 1;340.8;   81.311000;  -25.566000;  -48.214000
 1;342.0;   91.843000;  -27.172000;  -45.553000
 1;343.2;  101.810000;  -28.663000;  -42.007000
 1;344.4;  108.870000;  -29.949000;  -37.794000
 1;345.6;  112.640000;  -31.020000;  -33.196000
 1;346.8;  114.030000;  -31.929000;  -28.301000
 1;348.0;  113.880000;  -32.645000;  -23.439000
 1;349.2;  113.000000;  -33.191000;  -18.821000
 1;350.4;  111.970000;  -33.612000;  -14.586000
 1;351.6;  111.090000;  -33.894000;  -10.771000
 1;352.8;  110.380000;  -34.077000;   -7.105700
 1;354.0;  110.000000;  -34.216000;   -3.602100
