# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 5 mm
# Rotation step angle: 1.2°
# sensor pos #1: 15 mm
# sensor pos #2: 35 mm
# sensor pos #3: 45 mm
# sensor pos #4: 55 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]; X3_magn [mT]; Y3_magn [mT]; Z3_magn [mT]; X4_magn [mT]; Y4_magn [mT]; Z4_magn [mT]
 72.0;   38.472000;    2.031000;  -79.948000;   16.309000;   -0.318800;  -85.391000;   13.729000;   -2.145100;  -86.797000;   -1.643600;   -2.604000;  -86.958000
 73.2;  -11.336000;   -2.824300;  -85.658000;   -0.837210;   -2.517400;  -86.005000;    0.985170;   -0.780320;  -84.975000;   21.996000;    1.219300;  -80.638000
 74.4;    7.282900;    0.420170;  -80.232000;   -8.197900;   -1.198500;  -83.656000;   -8.394000;   -2.763800;  -84.465000;  -13.339000;   -2.971100;  -83.964000
 75.6;   -9.989100;   -3.066300;  -82.657000;   -8.885100;   -2.966600;  -82.810000;  -10.323000;   -1.564800;  -82.040000;   -2.331200;   -0.383400;  -79.025000
 76.8;   -5.437200;   -1.089900;  -77.503000;   -7.741900;   -1.914700;  -80.964000;   -5.399400;   -3.139100;  -81.868000;   -5.839200;   -3.165300;  -82.263000
 78.0;   -5.524000;   -3.332900;  -82.625000;   -2.509700;   -3.391200;  -81.731000;   -4.737500;   -2.214600;  -80.655000;   -4.337600;   -1.775100;  -76.352000
 79.2;   -2.744300;   -2.443800;  -75.923000;   -5.310700;   -2.531600;  -80.948000;   -3.970300;   -3.648400;  -82.188000;  -12.023000;   -3.571100;  -83.113000
 80.4;  -26.436000;   -3.832200;  -82.957000;  -12.860000;   -3.987900;  -82.380000;  -12.327000;   -2.858300;  -81.282000;   -3.995200;   -3.173100;  -76.029000
 81.6;  -11.146000;   -3.960600;  -76.105000;  -26.553000;   -3.236200;  -80.901000;  -28.723000;   -4.332500;  -81.691000;  -45.792000;   -4.093200;  -81.454000
 82.8;  -62.826000;   -4.301500;  -78.398000;  -47.278000;   -4.637600;  -79.485000;  -44.423000;   -3.628300;  -79.134000;  -24.599000;   -4.779500;  -75.432000
 84.0;  -41.007000;   -5.535600;  -73.585000;  -59.993000;   -3.986000;  -76.032000;  -61.890000;   -4.847100;  -75.935000;  -72.055000;   -4.400500;  -74.242000
 85.2;  -73.135000;   -4.397100;  -69.904000;  -68.751000;   -4.957600;  -71.689000;  -68.425000;   -4.340000;  -72.002000;  -55.302000;   -6.247300;  -70.619000
 86.4;  -64.287000;   -6.874700;  -66.786000;  -70.013000;   -4.599100;  -67.790000;  -68.763000;   -4.980400;  -67.404000;  -69.437000;   -4.346700;  -65.892000
 87.6;  -64.590000;   -4.292900;  -62.701000;  -64.903000;   -5.015500;  -63.635000;  -67.036000;   -4.757800;  -63.929000;  -66.948000;   -7.449700;  -62.671000
 88.8;  -65.375000;   -7.971700;  -58.954000;  -63.259000;   -4.947500;  -60.914000;  -61.027000;   -5.040900;  -60.875000;  -62.246000;   -4.254500;  -60.381000
 90.0;  -65.369000;   -4.319800;  -58.501000;  -60.512000;   -5.168200;  -58.697000;  -62.023000;   -5.143200;  -58.660000;  -62.901000;   -8.451600;  -56.033000
 91.2;  -62.469000;   -8.971000;  -53.816000;  -65.623000;   -5.356800;  -56.760000;  -65.292000;   -5.238800;  -56.840000;  -74.887000;   -4.452400;  -56.340000
 92.4;  -89.753000;   -4.578200;  -53.138000;  -76.518000;   -5.468400;  -54.145000;  -75.217000;   -5.534500;  -54.336000;  -66.210000;   -9.547500;  -51.712000
 93.6;  -75.394000;  -10.108000;  -49.211000;  -89.541000;   -5.768300;  -50.875000;  -91.895000;   -5.571100;  -50.268000; -105.700000;   -4.691400;  -48.396000
 94.8; -116.760000;   -4.709700;  -42.280000; -106.580000;   -5.658900;  -44.872000; -104.240000;   -5.992700;  -45.923000;  -88.648000;  -10.684000;  -45.716000
 96.0; -101.970000;  -11.089000;  -41.213000; -114.450000;   -6.168900;  -39.937000; -115.770000;   -5.624900;  -38.508000; -121.050000;   -4.552100;  -35.435000
 97.2; -120.370000;   -4.366900;  -28.593000; -118.610000;   -5.529700;  -31.673000; -118.510000;   -6.192800;  -33.403000; -111.640000;  -11.464000;  -35.655000
 98.4; -116.330000;  -11.725000;  -29.474000; -118.220000;   -6.294400;  -26.658000; -117.600000;   -5.345900;  -24.884000; -117.470000;   -4.052500;  -21.911000
 99.6; -113.780000;   -3.781000;  -15.595000; -114.610000;   -5.117400;  -18.215000; -115.620000;   -6.263000;  -20.011000; -116.790000;  -11.907000;  -22.911000
100.8; -115.050000;  -11.993000;  -16.740000; -112.520000;   -6.093900;  -14.013000; -111.390000;   -4.862000;  -12.327000; -110.340000;   -3.596200;   -9.988900
102.0; -107.550000;   -3.357900;   -5.053700; -108.430000;   -4.637600;   -7.052900; -109.470000;   -6.000500;   -8.671100; -112.590000;  -12.058000;  -11.174000
103.2; -110.260000;  -12.043000;   -6.313100; -107.060000;   -5.988200;   -4.035200; -106.240000;   -4.361600;   -2.571100; -105.430000;   -3.178700;   -0.722300
104.4; -103.960000;   -2.971800;    3.382900; -104.470000;   -4.239500;    1.732500; -105.150000;   -5.784300;    0.274350; -108.280000;  -11.981000;   -1.873400
105.6; -106.740000;  -11.924000;    2.290200; -103.880000;   -5.688000;    4.398000; -103.430000;   -4.031900;    5.796000; -103.120000;   -2.824700;    7.403200
106.8; -102.910000;   -2.666000;   11.346000; -102.970000;   -3.857200;    9.782300; -103.190000;   -5.605500;    8.374300; -105.730000;  -11.859000;    6.166300
108.0; -105.310000;  -11.774000;    9.831100; -103.140000;   -5.417600;   12.234000; -103.140000;   -3.701800;   13.706000; -103.360000;   -2.465100;   15.345000
109.2; -104.310000;   -2.331400;   19.401000; -103.850000;   -3.520400;   17.647000; -103.610000;   -5.272000;   16.093000; -105.380000;  -11.558000;   13.365000
110.4; -105.950000;  -11.425000;   17.088000; -104.620000;   -5.138300;   20.241000; -105.120000;   -3.368400;   21.911000; -105.820000;   -2.190700;   23.877000
111.6; -107.840000;   -2.011800;   28.961000; -106.960000;   -3.165600;   26.747000; -106.150000;   -5.012900;   24.870000; -107.020000;  -11.194000;   21.138000
112.8; -108.510000;  -10.972000;   25.488000; -108.090000;   -4.833600;   29.908000; -109.180000;   -2.948700;   31.987000; -110.120000;   -1.743000;   34.554000
114.0; -111.910000;   -1.458100;   40.640000; -111.350000;   -2.671600;   37.779000; -110.020000;   -4.628300;   35.465000; -110.180000;  -10.879000;   30.253000
115.2; -111.860000;  -10.522000;   35.205000; -111.430000;   -4.405300;   41.199000; -112.800000;   -2.410600;   43.670000; -112.050000;   -1.187000;   46.821000
116.4; -108.650000;   -0.789660;   53.144000; -112.210000;   -2.019300;   50.002000; -111.060000;   -4.163700;   47.355000; -113.000000;  -10.081000;   40.636000
117.6; -112.420000;   -9.562500;   46.442000; -107.080000;   -3.793300;   53.549000; -107.400000;   -1.560000;   56.182000;  -99.197000;   -0.357260;   59.101000
118.8;  -84.138000;    0.121070;   63.914000;  -96.218000;   -1.091000;   61.619000;  -97.363000;   -3.360200;   59.137000; -108.460000;   -8.933300;   52.094000
120.0;  -99.708000;   -8.264900;   57.038000;  -82.913000;   -2.963600;   63.428000;  -80.941000;   -0.619760;   65.628000;  -67.835000;    0.564300;   67.202000
121.2;  -55.469000;    0.908950;   69.089000;  -65.988000;   -0.189600;   68.174000;  -68.094000;   -2.501700;   66.295000;  -86.988000;   -7.592400;   60.846000
122.4;  -73.196000;   -6.888900;   63.483000;  -56.658000;   -2.071900;   68.054000;  -55.504000;    0.107630;   69.619000;  -49.182000;    1.150200;   70.200000
123.6;  -49.072000;    1.331300;   71.286000;  -51.204000;    0.421290;   70.667000;  -50.908000;   -1.664200;   69.183000;  -62.081000;   -6.237600;   65.096000
124.8;  -56.510000;   -5.562900;   66.142000;  -50.890000;   -1.307200;   70.398000;  -52.457000;    0.631520;   71.903000;  -52.716000;    1.524300;   72.959000
126.0;  -56.466000;    1.715500;   75.488000;  -56.190000;    0.892520;   73.908000;  -53.859000;   -0.911760;   72.226000;  -55.809000;   -4.903800;   67.264000
127.2;  -57.710000;   -4.278000;   68.830000;  -56.549000;   -0.630590;   74.689000;  -58.977000;    1.181200;   76.596000;  -56.880000;    1.961600;   78.638000
128.4;  -50.682000;    2.284200;   81.982000;  -57.651000;    1.542600;   79.853000;  -55.987000;   -0.260170;   77.793000;  -59.601000;   -3.586800;   71.123000
129.6;  -58.479000;   -2.833700;   73.945000;  -48.875000;    0.107260;   80.900000;  -49.175000;    1.990000;   82.993000;  -36.308000;    2.630700;   84.772000
130.8;  -17.126000;    3.007900;   86.192000;  -33.011000;    2.423900;   85.093000;  -34.397000;    0.526960;   83.273000;  -51.478000;   -2.015500;   76.729000
132.0;  -38.522000;   -1.151500;   78.761000;  -16.839000;    1.074700;   84.305000;  -14.900000;    2.855900;   85.760000;   -0.234640;    3.394300;   86.015000
133.2;    9.744900;    3.606800;   84.809000;   -0.373920;    3.204600;   85.095000;   -1.762000;    1.504200;   83.950000;  -22.635000;   -0.310210;   79.611000
134.4;   -7.979100;    0.492610;   79.251000;    7.384100;    1.969800;   82.734000;    7.302700;    3.459700;   83.619000;   12.113000;    3.744200;   83.200000
135.6;    9.098000;    3.845400;   81.971000;    8.027300;    3.659800;   82.036000;    9.640500;    2.351400;   81.222000;    1.706100;    1.221100;   77.973000
136.8;    4.917300;    1.980200;   76.502000;    7.222100;    2.689700;   80.182000;    4.760100;    3.853200;   81.147000;    5.051500;    3.957100;   81.604000
138.0;    4.620000;    4.111600;   81.988000;    1.964500;    4.093700;   81.110000;    4.440800;    2.989900;   79.904000;    3.987100;    2.658700;   75.459000
139.2;    2.511400;    3.357400;   75.069000;    5.043400;    3.322600;   80.245000;    3.530000;    4.376800;   81.529000;   10.984000;    4.294200;   82.525000
140.4;   25.116000;    4.554100;   82.478000;   12.263000;    4.713600;   81.793000;   12.133000;    3.661300;   80.571000;    3.913000;    4.085900;   75.140000
141.6;   11.060000;    4.904000;   75.223000;   26.323000;    4.062400;   80.171000;   28.022000;    5.060800;   81.157000;   44.412000;    4.814800;   81.057000
142.8;   61.745000;    5.036200;   78.083000;   46.595000;    5.374900;   78.986000;   44.120000;    4.489200;   78.420000;   24.383000;    5.715400;   74.617000
144.0;   40.547000;    6.508900;   72.792000;   59.362000;    4.902500;   75.401000;   61.162000;    5.625400;   75.531000;   71.333000;    5.159800;   73.998000
145.2;   72.820000;    5.185200;   69.689000;   68.208000;    5.771800;   71.298000;   67.903000;    5.228100;   71.429000;   54.733000;    7.204600;   70.020000
146.4;   63.858000;    7.845700;   66.217000;   69.617000;    5.504400;   67.266000;   68.475000;    5.863300;   67.055000;   69.319000;    5.106400;   65.677000
147.6;   64.569000;    5.059300;   62.419000;   64.779000;    5.867400;   63.276000;   66.836000;    5.714700;   63.412000;   66.636000;    8.452100;   61.977000
148.8;   65.195000;    8.986800;   58.292000;   63.176000;    5.948400;   60.425000;   61.037000;    5.954400;   60.481000;   62.196000;    5.087700;   60.077000
150.0;   65.226000;    5.137800;   58.179000;   60.514000;    6.009700;   58.371000;   61.991000;    6.124700;   58.174000;   62.840000;    9.499900;   55.333000
151.2;   62.459000;   10.005000;   53.107000;   65.545000;    6.324800;   56.270000;   65.352000;    6.242300;   56.415000;   74.490000;    5.298300;   56.056000
152.4;   89.304000;    5.418600;   52.865000;   76.472000;    6.411100;   53.783000;   75.080000;    6.532400;   53.884000;   66.120000;   10.557000;   51.056000
153.6;   75.163000;   11.154000;   48.540000;   89.370000;    6.800500;   50.373000;   91.793000;    6.576900;   49.865000;  105.540000;    5.452200;   48.150000
154.8;  116.870000;    5.474600;   42.062000;  106.500000;    6.645900;   44.490000;  104.030000;    7.025000;   45.462000;   88.135000;   11.625000;   45.228000
156.0;  101.390000;   12.163000;   40.641000;  114.180000;    7.263900;   39.514000;  115.700000;    6.634700;   38.166000;  121.280000;    5.442500;   35.214000
157.2;  120.780000;    5.269600;   28.337000;  118.780000;    6.529100;   31.378000;  118.310000;    7.352100;   32.997000;  111.120000;   12.477000;   35.216000
158.4;  115.970000;   12.748000;   29.021000;  118.160000;    7.432300;   26.228000;  117.860000;    6.384600;   24.501000;  117.870000;    5.048500;   21.580000
159.6;  114.220000;    4.787100;   15.189000;  114.970000;    6.103400;   17.812000;  115.680000;    7.346500;   19.558000;  116.590000;   12.925000;   22.437000
